Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Lipid and atherosclerosis,12/215,0.0025774375238005,0.0300324284469356,0,0,2.725545390570021,16.246865910555986,IL6;AKT3;TNFSF10;OLR1;PIK3R1;CD36;FOS;CXCL3;LDLR;AGER;CXCL2;ABCG1
GO_Biological_Process_2023,Positive Regulation Of Biomineral Tissue Development (GO:0070169),5/43,0.0022503933229858,0.0300483930732184,0,0,6.018119068162209,36.69036722872833,KL;BMP2;ALOX5;PTN;GPM6B
GO_Biological_Process_2023,Positive Regulation Of Cell-Matrix Adhesion (GO:0001954),5/43,0.0022503933229858,0.0300483930732184,0,0,6.018119068162209,36.69036722872833,RRAS;EMP2;CD36;TEK;FERMT2
GO_Biological_Process_2023,Regulation Of Inflammatory Response (GO:0050727),13/240,0.002262097224111,0.0300483930732184,0,0,2.6435187618937475,16.10289651833098,PTGER4;IL33;KLF4;AGER;CDH5;IL6;CAMK2N1;HYAL2;ALOX5;AGTR1;SLC39A8;TEK;DNASE1L3
GO_Biological_Process_2023,Lipid Transport (GO:0006869),8/108,0.0023832396154052,0.0314891872588645,0,0,3.6732075471698113,22.18358226159497,FABP4;FABP5;ABCA3;SLCO2A1;ABCA8;CD36;SLC27A3;LDLR
GO_Biological_Process_2023,Regulation Of Osteoblast Differentiation (GO:0045667),7/85,0.0024254243939656,0.0315141947010279,0,0,4.115535444947209,24.782720470923152,GDF10;WWTR1;IL6;PTCH1;SMAD6;FERMT2;FGFR2
GO_Biological_Process_2023,Secondary Palate Development (GO:0062009),3/13,0.0024358797836543,0.0315141947010279,0,0,13.676923076923076,82.30016357138952,TGFBR3;LRRC32;TGFBR2
GO_Biological_Process_2023,Negative Regulation Of Cell Migration Involved In Sprouting Angiogenesis (GO:0090051),3/13,0.0024358797836543,0.0315141947010279,0,0,13.676923076923076,82.30016357138952,STARD13;MMRN2;KLF4
GO_Biological_Process_2023,Positive Regulation Of Cardiac Muscle Cell Proliferation (GO:0060045),3/13,0.0024358797836543,0.0315141947010279,0,0,13.676923076923076,82.30016357138952,TGFBR3;FGFR2;TBX2
GO_Biological_Process_2023,Negative Regulation Of Macromolecule Metabolic Process (GO:0010605),11/186,0.0024580744501323,0.0316365644255371,0,0,2.895459789616559,17.39701394468281,CLDN5;MSR1;BMP2;EDN1;EDNRB;GATA2;UPK3B;KLF4;CD34;LDLR;ENG
GO_Biological_Process_2023,Positive Regulation Of Wnt Signaling Pathway (GO:0030177),8/109,0.0025246840028817,0.0322022735904306,0,0,3.636652344479731,21.75314284405217,SEMA5A;MACF1;SCEL;BMP2;ZEB2;CAV1;GPC3;FGFR2
GO_Biological_Process_2023,Positive Regulation Of Response To Wounding (GO:1903036),4/27,0.0025409201383753,0.0322022735904306,0,0,7.941893539211702,47.45463262494822,DUOX1;PTN;MYLK;HBEGF
GO_Biological_Process_2023,Ventricular Septum Morphogenesis (GO:0060412),4/27,0.0025409201383753,0.0322022735904306,0,0,7.941893539211702,47.45463262494822,TGFBR3;HEY1;SLIT2;TGFBR2
KEGG_2021_Human,Chemokine signaling pathway,11/192,0.0031393938502261,0.0332427317408986,0,0,2.798611566777339,16.1304289612484,FGR;CX3CR1;ADCY9;CXCL12;GRK5;AKT3;ARRB1;PIK3R1;CXCL3;GNG11;CXCL2
KEGG_2021_Human,Leukocyte transendothelial migration,8/114,0.0033332310844027,0.0332427317408986,0,0,3.4642221431114275,19.759275813727577,CDH5;CLDN5;CXCL12;PECAM1;CLDN18;PIK3R1;MYL9;JAM2
KEGG_2021_Human,Hypertrophic cardiomyopathy,7/90,0.0033500427335789,0.0332427317408986,0,0,3.866619418851878,22.03502182914116,EDN1;IL6;DES;TNNC1;ITGA8;CACNA2D2;DMD
GO_Biological_Process_2023,Positive Regulation Of DNA-binding Transcription Factor Activity (GO:0051091),13/246,0.0028013299678518,0.0353223535032686,0,0,2.5746463580771715,15.132898451755713,CX3CR1;EDN1;ANXA3;PLA2G1B;CAV1;IRAK3;CLU;AGER;BMP2;IL6;RGCC;CAPN3;CD36
GO_Biological_Process_2023,Negative Regulation Of Inflammatory Response (GO:0050728),8/111,0.0028272285981665,0.0354688678679075,0,0,3.565671368382488,20.92499388334384,FGR;PTGER4;CDH5;IL33;ALOX5;SLC39A8;TEK;KLF4
GO_Biological_Process_2023,Negative Regulation Of Cell Migration (GO:0030336),10/163,0.0029271522560483,0.0365379206232362,0,0,3.0070005885450546,17.542015274723436,CLDN5;DACH1;LIMCH1;HYAL2;MMRN2;NEDD9;ADARB1;SLIT2;RECK;ENG
