probe,log2FC,pvalue,padj
202619_s_at,1.3253142574116827,1.6718092798011345e-13,2.645804416321639e-12
207519_at,-1.5721430509387755,1.74473459220087e-13,2.7494993577094756e-12
203910_at,-1.050652839133356,1.817302625367546e-13,2.8497504856484886e-12
219737_s_at,-1.098411066612245,2.0153059091185556e-13,3.1381594390558194e-12
219118_at,1.0787799251636194,2.1461120507090677e-13,3.328946833167946e-12
200806_s_at,1.082007574905699,2.1861668392273926e-13,3.3852922639683107e-12
218280_x_at,1.295616674131245,2.2620866203604554e-13,3.497992793996671e-12
216379_x_at,1.4780871736608017,2.2794081403911625e-13,3.5174550964221795e-12
209369_at,-1.4699889689408874,2.381599257325556e-13,3.6523865279411816e-12
221911_at,-1.3816413552463054,2.406987251295227e-13,3.688782456713311e-12
209687_at,-1.310467768166431,2.9316131614657573e-13,4.446911918103572e-12
205462_s_at,-1.027749322554187,3.041267072807282e-13,4.603841996152491e-12
209771_x_at,1.4035710542054876,3.0394907272467014e-13,4.603841996152491e-12
209031_at,-1.4230905693947893,3.1046088747787037e-13,4.691103116219918e-12
213006_at,-1.1371418700299092,3.174417636640443e-13,4.7891366416559905e-12
205654_at,-1.6424514518335656,3.6172345026806707e-13,5.402334880913766e-12
209498_at,1.01110664239057,3.734496534422123e-13,5.5737298242818604e-12
201531_at,-1.1500862913620722,4.030636314213319e-13,5.987644599307692e-12
203186_s_at,-1.1681877373550318,4.159186000034398e-13,6.1580825009147165e-12
202768_at,-2.252872714274103,4.342448147894549e-13,6.416629448244976e-12
221031_s_at,-1.3584744003170313,4.3782844543471394e-13,6.465295725395448e-12
218730_s_at,-1.0308904506864893,4.5136036853733665e-13,6.643106401662795e-12
213110_s_at,-1.0161709476108367,4.529072661477564e-13,6.661473671003601e-12
212950_at,-1.5104741090059832,5.281434106290084e-13,7.646926328165169e-12
217744_s_at,1.132388989880365,5.329204708832219e-13,7.711082371877166e-12
204822_at,1.1516243828486976,5.851679797247517e-13,8.412450382068803e-12
209642_at,1.002619002399717,5.920860905797917e-13,8.50093708530251e-12
210827_s_at,1.003402291263546,5.930311727225518e-13,8.509023581311412e-12
204285_s_at,1.4924346879535566,6.801786018624227e-13,9.64762557944008e-12
211416_x_at,-1.1162730656815611,6.849789359405085e-13,9.709532843233047e-12
207574_s_at,-1.1889396398782548,7.505760916868689e-13,1.0585498133581329e-11
210869_s_at,-1.0233502314820537,7.96121118422042e-13,1.1199474041539368e-11
204619_s_at,1.1284725290988744,8.052011320110437e-13,1.131292359684873e-11
