Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Cell Cycle G2/M Phase Transition (GO:0044839),4/40,0.0011993323828692,0.036949681431314,0,0,9.531400966183575,64.10810972544543,CCNB1;MELK;CDK1;AURKA
GO_Biological_Process_2023,Cell-Cell Junction Organization (GO:0045216),5/68,0.0012025741882559,0.036949681431314,0,0,6.8285159769875925,45.91009907505687,DSP;CDH3;CDH1;F2RL1;DSG2
GO_Biological_Process_2023,Carbohydrate Catabolic Process (GO:0016052),4/41,0.0013169202344501,0.0373263253755903,0,0,9.273325499412456,61.50495510180976,GPI;PGK1;ENO1;GAPDH
GO_Biological_Process_2023,Bundle Of His cell-Purkinje Myocyte Adhesion Involved In Cell Communication (GO:0086073),2/5,0.0013317352973104,0.0373263253755903,0,0,56.79022988505747,376.0235847008631,DSP;DSG2
GO_Biological_Process_2023,Centromeric Sister Chromatid Cohesion (GO:0070601),2/5,0.0013317352973104,0.0373263253755903,0,0,56.79022988505747,376.0235847008631,BUB1B;BUB1
GO_Biological_Process_2023,Regulation Of Insulin-Like Growth Factor Receptor Signaling Pathway (GO:0043567),3/19,0.0013339337721972,0.0373263253755903,0,0,16.030844155844157,106.11814434278892,CDH3;IGFBP3;IGFBP2
GO_Biological_Process_2023,Purine Nucleobase Biosynthetic Process (GO:0009113),2/5,0.0013317352973104,0.0373263253755903,0,0,56.79022988505747,376.0235847008631,SHMT2;PAICS
GO_Biological_Process_2023,DNA Unwinding Involved In DNA Replication (GO:0006268),3/20,0.0015558589879857,0.0427724742837474,0,0,15.087089381207027,97.54900843576918,GINS1;HMGA1;MCM4
KEGG_2021_Human,Diabetic cardiomyopathy,8/203,0.0027559250450978,0.0438442620811026,0,0,3.5527115951894714,20.939689685127508,COL1A1;COL3A1;COL1A2;GFPT1;SLC2A1;ATP2A2;MMP9;GAPDH
GO_Biological_Process_2023,Negative Regulation Of Apoptotic Process (GO:0043066),14/482,0.0016995680385384,0.0459176399377537,0,0,2.6240481740481743,16.73455537547233,TFAP2A;FHL2;MMP9;HSPD1;COMP;GREM1;TOX3;GCLC;MDK;CEACAM5;CDK1;BIRC5;SFN;MAD2L1
GO_Biological_Process_2023,Anaphase-Promoting Complex-Dependent Catabolic Process (GO:0031145),3/21,0.0017995918514268,0.0470622668635713,0,0,14.248196248196248,90.05138422940034,CDC20;UBE2C;UBE2S
GO_Biological_Process_2023,Proteolysis (GO:0006508),11/330,0.0018277951500255,0.0470622668635713,0,0,3.007113035410546,18.95877978598049,MMP12;ST14;ADAM28;MMP7;PLAU;MMP1;CPD;TMPRSS4;TMPRSS11E;MMP9;WFDC2
GO_Biological_Process_2023,Negative Regulation Of Programmed Cell Death (GO:0043069),12/381,0.0018495490598503,0.0470622668635713,0,0,2.841426792646305,17.880568655656887,COMP;TFAP2A;GREM1;GCLC;CEACAM5;CDK1;FHL2;BIRC5;SLC7A11;MMP9;MAD2L1;HSPD1
GO_Biological_Process_2023,GMP Biosynthetic Process (GO:0006177),2/6,0.0019822014122499,0.0470622668635713,0,0,42.59051724137931,265.0640954964839,HPRT1;PAICS
GO_Biological_Process_2023,Regulation Of Metallopeptidase Activity (GO:1905048),2/6,0.0019822014122499,0.0470622668635713,0,0,42.59051724137931,265.0640954964839,CLDN4;TIMP1
GO_Biological_Process_2023,Cardiac Muscle Cell-Cardiac Muscle Cell Adhesion (GO:0086042),2/6,0.0019822014122499,0.0470622668635713,0,0,42.59051724137931,265.0640954964839,DSP;DSG2
GO_Biological_Process_2023,Free Ubiquitin Chain Polymerization (GO:0010994),2/6,0.0019822014122499,0.0470622668635713,0,0,42.59051724137931,265.0640954964839,UBE2C;UBE2S
GO_Biological_Process_2023,Nucleobase Biosynthetic Process (GO:0046112),2/6,0.0019822014122499,0.0470622668635713,0,0,42.59051724137931,265.0640954964839,SHMT2;PAICS
GO_Biological_Process_2023,Negative Regulation Of Gene Expression (GO:0010629),11/336,0.0021035780011694,0.0491986078780972,0,0,2.9506864436012417,18.188372261022213,SLC7A5;CLDN3;TRIM2;SORD;IGF2BP3;TYMS;LSM5;GAPDH;LGR4;EZH2;AURKA
